TransDate,Employee,LeaveCode,Unit
12-08-2018,100000004,MC,1
20-05-2019,100000004,AL,1
03-06-2019,100000004,AL,1
07-06-2019,100000004,AL,1
18-06-2019,100000004,AL,1
06-07-2019,100000004,AL,1
12-08-2019,100000004,AL,1
06-05-2019,100000014,AL,1
21-05-2019,100000014,AL,1
04-06-2019,100000014,AL,1
07-06-2019,100000014,AL,1
28-06-2019,100000014,MC,1
02-07-2019,100000014,AL,1
08-07-2019,100000014,AL,1
12-07-2019,100000014,AL,1
13-07-2019,100000014,AL,1
22-07-2019,100000014,AL,1
06-08-2019,100000014,AL,1
12-08-2019,100000014,AL,1
12-08-2019,100000014,UL,1
30-08-2019,100000014,MC,1
18-04-2019,100000033,AL,1
04-05-2019,100000033,AL,1
04-06-2019,100000033,AL,1
05-06-2019,100000033,AL,1
06-06-2019,100000033,AL,1
07-06-2019,100000033,AL,1
09-07-2019,100000033,MC,1
27-07-2019,100000033,AL,1
04-04-2019,100000034,AL,1
05-04-2019,100000034,AL,1
27-04-2019,100000034,AL,1
24-05-2019,100000034,AL,1
04-06-2019,100000034,AL,1
08-06-2019,100000034,AL,1
13-06-2019,100000034,AL,1
24-06-2019,100000034,AL,1
06-07-2019,100000034,AL,1
17-07-2019,100000034,AL,1
19-08-2019,100000034,AL,1
06-09-2019,100000034,AL,1
28-03-2019,100000035,AL,1
04-06-2019,100000035,AL,1
07-06-2019,100000035,AL,1
02-09-2019,100000035,AL,1
03-09-2019,100000035,AL,1
03-06-2019,100000046,AL,1
07-06-2019,100000046,AL,1
06-07-2019,100000046,AL,1
12-08-2019,100000046,AL,1
12-04-2019,100000048,AL,1
27-05-2019,100000048,AL,1
01-06-2019,100000048,AL,1
03-06-2019,100000048,AL,1
04-06-2019,100000048,MC,1
24-06-2019,100000048,MC,1
27-06-2019,100000048,MC,1
01-07-2019,100000048,AL,1
01-07-2019,100000048,UL,1
04-07-2019,100000048,MC,1
08-07-2019,100000048,UL,1
